City,Country,Continent,Month,AvgTemperature
Bissau,Guinea-Bissau,Africa,6,-19.591185185185196
Bissau,Guinea-Bissau,Africa,7,-19.335412186379926
Bissau,Guinea-Bissau,Africa,8,-20.166738351254484
Bissau,Guinea-Bissau,Africa,9,-18.490148148148148
Bissau,Guinea-Bissau,Africa,10,-12.963369175627236
Bissau,Guinea-Bissau,Africa,11,-11.047481481481489
Bissau,Guinea-Bissau,Africa,12,-16.671171171171157
Abidjan,Ivory Coast,Africa,1,23.572925282602675
Abidjan,Ivory Coast,Africa,2,24.345049130763428
Abidjan,Ivory Coast,Africa,3,26.625792666115238
Abidjan,Ivory Coast,Africa,4,25.134757834757835
Abidjan,Ivory Coast,Africa,5,25.63479977439368
Abidjan,Ivory Coast,Africa,6,22.316074074074017
Abidjan,Ivory Coast,Africa,7,21.379354838709716
Abidjan,Ivory Coast,Africa,8,22.858422939068117
Abidjan,Ivory Coast,Africa,9,22.813333333333315
Abidjan,Ivory Coast,Africa,10,26.459068100358405
Abidjan,Ivory Coast,Africa,11,22.94370370370367
Abidjan,Ivory Coast,Africa,12,23.287227949599007
Nairobi,Kenya,Africa,1,-2.69767804269908
Nairobi,Kenya,Africa,2,-0.980085470085474
Nairobi,Kenya,Africa,3,0.20492441951067597
Nairobi,Kenya,Africa,4,-1.7518518518518593
Nairobi,Kenya,Africa,5,-7.516227018385292
Nairobi,Kenya,Africa,6,-2.342171717171711
Nairobi,Kenya,Africa,7,-6.369908765070057
Nairobi,Kenya,Africa,8,-6.945747800586505
Nairobi,Kenya,Africa,9,-4.329292929292925
Nairobi,Kenya,Africa,10,-7.501710654936463
Nairobi,Kenya,Africa,11,-4.969023569023564
Nairobi,Kenya,Africa,12,-11.519635343618514
Rabat,Morocco,Africa,1,11.447063688999114
Rabat,Morocco,Africa,2,12.513832199546455
Rabat,Morocco,Africa,3,14.48125172318726
Rabat,Morocco,Africa,4,15.888888888888882
Rabat,Morocco,Africa,5,17.971164692611378
Rabat,Morocco,Africa,6,20.45488888888893
Rabat,Morocco,Africa,7,22.420143369175623
Rabat,Morocco,Africa,8,22.634910394265205
Rabat,Morocco,Africa,9,21.351333333333326
Rabat,Morocco,Africa,10,19.378924731182806
Rabat,Morocco,Africa,11,14.857407407407408
Rabat,Morocco,Africa,12,11.758304696449025
Antananarivo,Madagascar,Africa,1,18.974083264405845
Antananarivo,Madagascar,Africa,2,20.184278155706775
Antananarivo,Madagascar,Africa,3,20.462296663909555
Antananarivo,Madagascar,Africa,4,19.202706552706545
Antananarivo,Madagascar,Africa,5,17.15750141003951
Antananarivo,Madagascar,Africa,6,13.234814814814793
Antananarivo,Madagascar,Africa,7,13.122222222222243
Antananarivo,Madagascar,Africa,8,14.570107526881742
Antananarivo,Madagascar,Africa,9,16.561555555555586
Antananarivo,Madagascar,Africa,10,17.335268817204334
Antananarivo,Madagascar,Africa,11,19.555185185185213
Antananarivo,Madagascar,Africa,12,19.13280355097377
Nouakchott,Mauritania,Africa,1,19.302959863629308
Nouakchott,Mauritania,Africa,2,22.183931623931628
Nouakchott,Mauritania,Africa,3,22.850007791803023
Nouakchott,Mauritania,Africa,4,22.49814814814815
Nouakchott,Mauritania,Africa,5,23.653420601527234
Nouakchott,Mauritania,Africa,6,25.14452495974232
Nouakchott,Mauritania,Africa,7,18.326009038491506
Nouakchott,Mauritania,Africa,8,26.051036309802022
Nouakchott,Mauritania,Africa,9,27.427214170692416
Nouakchott,Mauritania,Africa,10,27.9512233130746
Nouakchott,Mauritania,Africa,11,21.278341384863147
Nouakchott,Mauritania,Africa,12,19.523809523809533
Lilongwe,Malawi,Africa,1,-27.287410394265233
Lilongwe,Malawi,Africa,2,-24.443564605329314
Lilongwe,Malawi,Africa,3,-28.934668574153548
Lilongwe,Malawi,Africa,4,-26.95938271604939
Lilongwe,Malawi,Africa,5,-30.571804062126635
Lilongwe,Malawi,Africa,6,-35.431481481481484
Lilongwe,Malawi,Africa,7,-36.18434886499402
Lilongwe,Malawi,Africa,8,-20.64324116743471
Lilongwe,Malawi,Africa,9,-18.739021164021164
Lilongwe,Malawi,Africa,10,-29.85065710872162
Lilongwe,Malawi,Africa,11,-21.574444444444442
Lilongwe,Malawi,Africa,12,-27.158559847401047
Lilongwe,Malawi,Africa,02,-72.77777777777777
Lilongwe,Malawi,Africa,03,-72.77777777777777
Lilongwe,Malawi,Africa,04,-72.77777777777777
Lilongwe,Malawi,Africa,05,-72.77777777777777
Lilongwe,Malawi,Africa,06,-72.77777777777777
Lilongwe,Malawi,Africa,07,-72.77777777777777
Lilongwe,Malawi,Africa,08,-72.77777777777777
Lilongwe,Malawi,Africa,09,-72.77777777777777
Maputo,Mozambique,Africa,1,20.06761786600497
Maputo,Mozambique,Africa,2,23.227437641723384
Maputo,Mozambique,Africa,3,22.95230217810864
Maputo,Mozambique,Africa,4,17.40356125356128
Maputo,Mozambique,Africa,5,15.760011280315844
Maputo,Mozambique,Africa,6,12.92177777777775
Maputo,Mozambique,Africa,7,13.864086021505434
Maputo,Mozambique,Africa,8,14.198924731182778
Maputo,Mozambique,Africa,9,16.366222222222234
Maputo,Mozambique,Africa,10,17.611541218638013
Maputo,Mozambique,Africa,11,15.828074074074083
Maputo,Mozambique,Africa,12,14.892473118279602
Windhoek,Namibia,Africa,1,17.412117452440025
Windhoek,Namibia,Africa,2,16.392668178382497
Windhoek,Namibia,Africa,3,16.47215329473397
Windhoek,Namibia,Africa,4,14.961324786324761
Windhoek,Namibia,Africa,5,11.143401015228424
Windhoek,Namibia,Africa,6,10.348074074074079
Windhoek,Namibia,Africa,7,9.968530465949803
Windhoek,Namibia,Africa,8,8.68408602150538
Windhoek,Namibia,Africa,9,14.473481481481492
Windhoek,Namibia,Africa,10,18.595483870967712
Windhoek,Namibia,Africa,11,19.617481481481462
Windhoek,Namibia,Africa,12,15.187857961053876
Niamey,Nigeria,Africa,1,23.458643507030594
Niamey,Nigeria,Africa,2,27.301436130007573
Niamey,Nigeria,Africa,3,31.047973531844516
Niamey,Nigeria,Africa,4,33.49537037037032
Niamey,Nigeria,Africa,5,32.749294980259364
Niamey,Nigeria,Africa,6,31.099703703703668
Niamey,Nigeria,Africa,7,28.47125448028676
Niamey,Nigeria,Africa,8,25.508960573476738
Niamey,Nigeria,Africa,9,27.420518518518506
Niamey,Nigeria,Africa,10,27.817419354838737
Niamey,Nigeria,Africa,11,23.20133333333335
Niamey,Nigeria,Africa,12,21.29352806414665
Lagos,Nigeria,Africa,10,4.418214402085386
Lagos,Nigeria,Africa,11,-1.5898989898989926
Lagos,Nigeria,Africa,12,1.0463775178687444
Lagos,Nigeria,Africa,1,8.651026392961874
Lagos,Nigeria,Africa,2,-2.3433530148506048
Lagos,Nigeria,Africa,3,-9.046608101512927
Lagos,Nigeria,Africa,4,-0.1839225589225594
Lagos,Nigeria,Africa,5,8.877008032128527
Lagos,Nigeria,Africa,6,13.858465608465648
Lagos,Nigeria,Africa,7,14.851681174261792
Lagos,Nigeria,Africa,8,10.095238095238107
Lagos,Nigeria,Africa,9,-4.513580246913581
Dakar,Senegal,Africa,1,21.427763992280127
Dakar,Senegal,Africa,2,21.12297808012092
Dakar,Senegal,Africa,3,21.333057623380267
Dakar,Senegal,Africa,4,21.40776353276348
Dakar,Senegal,Africa,5,22.23998871968415
Dakar,Senegal,Africa,6,25.203481481481486
Dakar,Senegal,Africa,7,26.900000000000016
Dakar,Senegal,Africa,8,27.33548387096774
Dakar,Senegal,Africa,9,27.32555555555551
Dakar,Senegal,Africa,10,28.003727598566325
Dakar,Senegal,Africa,11,25.660740740740742
Dakar,Senegal,Africa,12,22.706615120274932
Freetown,Sierra Leone,Africa,1,-22.987138941598168
Freetown,Sierra Leone,Africa,2,-29.943055555555556
Freetown,Sierra Leone,Africa,3,-23.011912291798442
Freetown,Sierra Leone,Africa,4,-16.521895424836597
Freetown,Sierra Leone,Africa,5,-19.68585283575795
Freetown,Sierra Leone,Africa,6,-23.04531590413944
Freetown,Sierra Leone,Africa,7,-23.42757748260597
Freetown,Sierra Leone,Africa,8,-22.74646847986507
Freetown,Sierra Leone,Africa,9,-23.97450980392157
Freetown,Sierra Leone,Africa,10,-25.421779464473964
Freetown,Sierra Leone,Africa,11,-26.664705882352948
Freetown,Sierra Leone,Africa,12,-21.881931267130508
Capetown,South Africa,Africa,1,21.021160738902665
Capetown,South Africa,Africa,2,21.259259259259252
Capetown,South Africa,Africa,3,19.698649021229627
Capetown,South Africa,Africa,4,17.016595441595474
Capetown,South Africa,Africa,5,14.462915961646953
Capetown,South Africa,Africa,6,12.546814814814821
Capetown,South Africa,Africa,7,12.475053763440858
Capetown,South Africa,Africa,8,12.705089605734749
Capetown,South Africa,Africa,9,14.05096296296296
Capetown,South Africa,Africa,10,16.686594982078844
Capetown,South Africa,Africa,11,17.85518518518514
Capetown,South Africa,Africa,12,19.619487399770883
Lome,Togo,Africa,1,23.402950096498476
Lome,Togo,Africa,2,23.55374149659866
Lome,Togo,Africa,3,26.573200992555833
Lome,Togo,Africa,4,26.335256410256363
Lome,Togo,Africa,5,23.61245064861814
Lome,Togo,Africa,6,20.83562962962965
Lome,Togo,Africa,7,22.280716845878164
Lome,Togo,Africa,8,14.95440860215055
Lome,Togo,Africa,9,19.41162962962964
Lome,Togo,Africa,10,22.899999999999977
Lome,Togo,Africa,11,19.705629629629705
Lome,Togo,Africa,12,19.827391179839594
Tunis,Tunisia,Africa,1,11.725186104218379
Tunis,Tunisia,Africa,2,12.119047619047613
Tunis,Tunisia,Africa,3,14.220567962503464
Tunis,Tunisia,Africa,4,16.8224358974359
Tunis,Tunisia,Africa,5,20.156796390298908
Tunis,Tunisia,Africa,6,24.522074074074077
Tunis,Tunisia,Africa,7,27.973763440860214
Tunis,Tunisia,Africa,8,27.954336917562703
Tunis,Tunisia,Africa,9,24.537999999999954
Tunis,Tunisia,Africa,10,21.658781362007183
Tunis,Tunisia,Africa,11,16.239037037037026
Tunis,Tunisia,Africa,12,12.318800114547518
Dar Es Salaam,Tanzania,Africa,1,23.580162668872347
Dar Es Salaam,Tanzania,Africa,2,23.28835978835985
Dar Es Salaam,Tanzania,Africa,3,20.424593327819167
Dar Es Salaam,Tanzania,Africa,4,17.794871794871824
Dar Es Salaam,Tanzania,Africa,5,12.708897349125765
Dar Es Salaam,Tanzania,Africa,6,18.258222222222223
Dar Es Salaam,Tanzania,Africa,7,17.993978494623622
Dar Es Salaam,Tanzania,Africa,8,15.5426523297491
Dar Es Salaam,Tanzania,Africa,9,20.052888888888877
Dar Es Salaam,Tanzania,Africa,10,17.750752688172007
Dar Es Salaam,Tanzania,Africa,11,18.500370370370394
Dar Es Salaam,Tanzania,Africa,12,16.334091535704452
Kampala,Uganda,Africa,1,2.844913151364747
Kampala,Uganda,Africa,2,4.928398425673635
Kampala,Uganda,Africa,3,5.666184772132755
Kampala,Uganda,Africa,4,3.6514245014244926
Kampala,Uganda,Africa,5,5.666807849781179
Kampala,Uganda,Africa,6,9.69970370370369
Kampala,Uganda,Africa,7,3.7701792114695465
Kampala,Uganda,Africa,8,7.092401433691759
Kampala,Uganda,Africa,9,9.794148148148148
Kampala,Uganda,Africa,10,10.404229390680989
Kampala,Uganda,Africa,11,9.750814814814785
Kampala,Uganda,Africa,12,8.110896334478813
Lusaka,Zambia,Africa,1,13.487270412802351
Lusaka,Zambia,Africa,2,12.657872956755657
Lusaka,Zambia,Africa,3,14.611771363893618
Lusaka,Zambia,Africa,4,13.933723196881079
Lusaka,Zambia,Africa,5,11.398132427843832
Lusaka,Zambia,Africa,6,10.721442495126729
Lusaka,Zambia,Africa,7,11.971609130352737
Lusaka,Zambia,Africa,8,12.531503489907582
Lusaka,Zambia,Africa,9,12.787719298245596
Lusaka,Zambia,Africa,10,14.945199019053026
Lusaka,Zambia,Africa,11,17.51705653021441
Lusaka,Zambia,Africa,12,12.789850971514806
Dhaka,Bangladesh,Asia,1,-16.398297491039425
Dhaka,Bangladesh,Asia,2,-9.550270403146508
Dhaka,Bangladesh,Asia,3,-7.989247311827956
Dhaka,Bangladesh,Asia,4,-13.983101851851853
Dhaka,Bangladesh,Asia,5,-16.193548387096776
Dhaka,Bangladesh,Asia,6,-23.53634259259259
Dhaka,Bangladesh,Asia,7,-4.5763888888888795
Dhaka,Bangladesh,Asia,8,-6.734879032258061
